Fecha,Datos
May-13,4.36%
Jun-13,4.27%
Jul-13,4.24%
Aug-13,4.13%
Sep-13,4.03%
Oct-13,3.90%
Nov-13,3.90%
Dec-13,3.91%
Jan-14,5.03%
Feb-14,4.27%
Mar-14,3.87%
Apr-14,3.78%
May-14,3.77%
Jun-14,3.69%
Jul-14,3.71%
Aug-14,3.63%
Sep-14,3.62%
Oct-14,3.60%
Nov-14,3.60%
Dec-14,3.69%
Jan-15,4.23%
Feb-15,3.60%
Mar-15,3.73%
Apr-15,3.66%
May-15,3.66%
Jun-15,3.55%
Jul-15,3.50%
Aug-15,3.44%
Sep-15,3.40%
Oct-15,3.36%
Nov-15,3.36%
Dec-15,3.51%
Jan-16,5.11%
Feb-16,4.42%
Mar-16,3.95%
Apr-16,3.76%
May-16,3.63%
Jun-16,3.59%
Jul-16,3.51%
Aug-16,3.45%
Sep-16,3.39%
Oct-16,3.32%
Nov-16,3.31%
Dec-16,3.41%
Jan-17,4.20%
Feb-17,4.09%
Mar-17,3.92%
Apr-17,3.68%
May-17,3.52%
Jun-17,3.43%
Jul-17,3.37%
Aug-17,3.33%
Sep-17,3.26%
Oct-17,3.19%
Nov-17,3.16%
Dec-17,3.23%
Jan-18,4.18%
Feb-18,3.75%
Mar-18,3.56%
Apr-18,3.39%
May-18,3.50%
Jun-18,3.45%
Jul-18,3.40%
Aug-18,3.31%
Sep-18,3.43%
Oct-18,3.38%
Nov-18,3.24%